"breed","temperament","groom_req","origin","height_cm_min","height_cm_max","weight_kg_min","weight_kg_max","avg_life_exp"
"Labrador Retriever","Friendly","Moderate","Canada",55,62,25,36,11.0
"German Shepherd","Loyal","Moderate","Germany",55,65,22,40,11.0
"Golden Retriever","Intelligent","High","Scotland",55,61,25,34,11.0
"Bulldog","Calm","Low","United Kingdom",35,40,18,25,9.0
"Beagle","Friendly","Moderate","United Kingdom",33,41,9,11,12.5
"Dachshund","Energetic","Low","Germany",13,23,7,15,14.0
"Boxer","Energetic","Low","Germany",53,63,25,32,11.0
"Pug","Energetic","Moderate","China",25,30,6,8,13.5
"Bull Terrier","Energetic","Low","United Kingdom",51,56,23,32,12.5
"French Bulldog","Energetic","Low","France",28,33,7,13,12.0
"Border Collie","Intelligent","Moderate","United Kingdom",46,56,14,20,13.5
"Chihuahua","Energetic","Low","Mexico",15,23,1,3,16.0
"Dalmatian","Friendly","Moderate","Croatia",48,61,23,32,11.5
"Whippet","Calm","Low","United Kingdom",46,51,9,14,13.5
"Irish Setter","Friendly","High","Ireland",61,71,25,32,13.5
"Jack Russell Terrier","Energetic","Low","United Kingdom",25,38,6,8,14.5
"Boston Terrier","Friendly","Low","United States",38,43,5,11,12.0
"Pembroke Welsh Corgi","Intelligent","Moderate","Wales",25,30,10,14,13.5
"Irish Wolfhound","Calm","Moderate","Ireland",76,86,48,82,7.0
"Chesapeake Bay Retriever","Friendly","Moderate","United States",53,66,25,36,11.5
"Afghan Hound","Independent","Very High","Afghanistan",64,69,23,27,15.0
"Poodle (Standard)","Intelligent","High","Germany/France",38,60,18,32,12.5
"Rottweiler","Loyal","Low","Germany",56,69,35,61,9.0
"Siberian Husky","Calm","Moderate","Siberia",51,60,16,27,13.0
"Australian Shepherd","Intelligent","Moderate","United States",46,58,18,29,13.5
"Doberman Pinscher","Loyal","Low","Germany",61,71,27,45,11.5
"Great Dane","Calm","Moderate","Germany",71,81,45,64,8.5
"Shih Tzu","Energetic","High","Tibet",20,28,4,7,13.0
"Yorkshire Terrier","Energetic","High","United Kingdom",15,23,2,3,13.0
"Bernese Mountain Dog","Calm","High","Switzerland",58,70,32,52,8.5
